"standard_code","standard_name","revision_year","reference_standard","standard_type","status","description","attachment"
"E310-16","A402 高铬镍耐热不锈钢焊条","2012","GB/T 983","Product Standard","Current","钛钙型药皮的纯奥氏体不锈钢焊条。熔敷金属具有良好的抗氧化性及耐热性（最高工作温度可达1000℃以上）。适用于在高温条件下工作的同类型耐热不锈钢、不锈钢衬里、异种钢焊接。",""
"E309L-16","A042 异种钢/复合钢用超低碳焊条","2012","GB/T 983","Product Standard","Current","超低碳Cr23Ni13型不锈钢焊条。常用于不锈钢与碳钢或低合金钢的异种金属焊接，以及复合钢板的基层堆焊，具有良好的抗裂性和耐腐蚀性。",""
"E316L-16","A022 含钼超低碳不锈钢焊条","2012","GB/T 983","Product Standard","Current","含钼超低碳不锈钢焊条，交直流两用。由于焊缝金属中含有钼，具有良好的耐热、耐酸及耐点蚀性能。特别适用于尿素、合成纤维等介质及受有机酸、无机酸作用的设备焊接。",""
"E308L-16","A002 超低碳Cr19Ni10不锈钢焊条","2012","GB/T 983","Product Standard","Current","超低碳奥氏体不锈钢焊条。由于含碳量低，具有优异的耐晶间腐蚀性能。用于焊接超低碳02Cr19Ni10不锈钢结构，也可用于合成纤维、化肥、石油等设备的制造。",""
"E308-16","A102 钛钙型Cr19Ni10不锈钢焊条","2012","GB/T 983","Product Standard","Current","钛钙型药皮的奥氏体不锈钢焊条。熔敷金属具有良好的力学性能及抗晶间腐蚀性能。交直流两用，操作性能极佳。主要用于焊接工作温度低于300℃的06Cr19Ni10（SUS304）不锈钢结构。",""
"E4315","J427 低氢钠型碳钢焊条","2012","GB/T 5117","Product Standard","Current","43级强度的碱性低氢焊条。直流反接。主要用于焊接承受动载荷、受力复杂或厚度较大的重要碳钢结构，提供比酸性焊条更好的韧性和抗裂性。",""
"E4313","J421 高钛钾型薄板焊条","2012","GB/T 5117","Product Standard","Current","高钛钾型药皮。该焊条熔深较浅，引弧非常容易，电弧柔和，全位置操作性能优越。特别适用于薄板结构的间断焊接、小件焊接以及一般表面修饰要求较高的场合。",""
"E5015","J507 低氢钠型高韧性焊条","2012","GB/T 5117","Product Standard","Current","碱性低氢钠型药皮焊条。必须采用直流反接焊接。其核心优势在于极高的冲击韧性和优异的抗裂性。广泛应用于核电、石油化工、锅炉压力容器等对安全性要求极高的焊接作业。",""
"E5016","J506 低氢钾型低合金钢焊条","2012","GB/T 5117","Product Standard","Current","属于碱性低氢型焊条。含钾药皮使其能交直流两用。具有优良的抗裂性能和力学性能，焊缝金属含氢量极低。适用于中碳钢、低合金钢等重要结构，如桥梁、压力容器及重要构件。",""
"E4303","J422 钛钙型碳钢焊条","2012","GB/T 5117","Product Standard","Current","最具代表性的酸性焊条。药皮含大量钛、钙成分，交直流两用。具有极佳的工艺性能：电弧稳定、飞溅小、脱渣极易、焊缝波纹细腻。适用于一般低碳钢建筑结构、车辆及船舶非重要部位焊接。",""
